URL,File,TimePeriod,Ext,ClimModel,ClimScenario,Var,OutName,Long_name,unit,explanation
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_gsl_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_gsl_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,gsl,gsl_2041-2070_UKESM1-0-LL_ssp370,growing season length TREELIM,# days,Length of the growing season
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_gsp_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_gsp_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,gsp,gsp_2041-2070_UKESM1-0-LL_ssp370,Accumulated precipiation amount on growing season days TREELIM,kg m-2,precipitation sum accumulated on all days during the growing season based on TREELIM
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_gst_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_gst_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,gst,gst_2041-2070_UKESM1-0-LL_ssp370,Mean temperature of the growing season TREELIM,deg C,Mean temperature of all growing season days based on TREELIM
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_kg0_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_kg0_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,kg0,kg0_2041-2070_UKESM1-0-LL_ssp370,Koeppen-Geiger climate classification,category,Koeppen Geiger - Koeppen&Geiger (1936)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_kg1_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_kg1_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,kg1,kg1_2041-2070_UKESM1-0-LL_ssp370,Koeppen-Geiger climate classification,category,Koeppen Geiger without As/Aw differentiation - Koeppen&Geiger (1936)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_kg2_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_kg2_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,kg2,kg2_2041-2070_UKESM1-0-LL_ssp370,Koeppen-Geiger climate classification,category,Koeppen Geiger after Peel et al. 2007
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_kg3_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_kg3_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,kg3,kg3_2041-2070_UKESM1-0-LL_ssp370,Koeppen-Geiger climate classification,category,Wissmann 1939
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_kg4_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_kg4_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,kg4,kg4_2041-2070_UKESM1-0-LL_ssp370,Koeppen-Geiger climate classification,category,Thornthwaite 1931
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_kg5_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_kg5_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,kg5,kg5_2041-2070_UKESM1-0-LL_ssp370,Koeppen-Geiger climate classification,category,Troll-Pfaffen - Troll&Paffen (1964)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_lgd_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_lgd_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,lgd,lgd_2041-2070_UKESM1-0-LL_ssp370,last day of the growing season TREELIM,julian day,Last day of the growing season according to TREELIM
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_ngd0_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_ngd0_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,ngd0,ngd0_2041-2070_UKESM1-0-LL_ssp370,Number of growing degree days,# days,Number of days at which tas > 0 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_ngd10_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_ngd10_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,ngd10,ngd10_2041-2070_UKESM1-0-LL_ssp370,Number of growing degree days,# days,Number of days at which tas > 10 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/UKESM1-0-LL/ssp370/bio/CHELSA_ngd5_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,CHELSA_ngd5_2041-2070_ukesm1-0-ll_ssp370_V.2.1.tif,2041-2070,tif,UKESM1-0-LL,ssp370,ngd5,ngd5_2041-2070_UKESM1-0-LL_ssp370,Number of growing degree days,# days,Number of days at which tas > 5 deg C
